"Key","Comment","ja","en","zh_cn","zh_tw","ko","es","ar","id"
"NoDllFound","","有効なプラグインファイル(DLL)が見つかりませんでした。","No valid plugin file (DLL) found.","未找到有效的插件文件(DLL)。","找不到有效的外掛程式檔案(DLL)。","유효한 플러그인 파일(DLL)을 찾을 수 없습니다.","No se encontró ningún archivo de plugin (DLL) válido.","لم يتم العثور على ملف مكوّن إضافي (DLL) صالح.","File plugin (DLL) yang valid tidak ditemukan."
"RenameError","","リネームに失敗しました。ファイルが使用中かもしれません。","Rename failed. The file may be in use.","重命名失败。文件可能正在使用中。","重新命名失敗。檔案可能正在使用中。","이름 바꾸기에 실패했습니다. 파일이 사용 중일 수 있습니다.","Error al renombrar. El archivo puede estar en uso.","فشل إعادة التسمية. قد يكون الملف قيد الاستخدام.","Gagal mengganti nama. File mungkin sedang digunakan."
"TargetNotFound","","対象が見つかりません:","Target not found:","未找到目标:","找不到目標:","대상을 찾을 수 없습니다:","Objetivo no encontrado:","الهدف غير موجود:","Target tidak ditemukan:"
"LoadError","","エラー:","Error:","错误:","錯誤:","오류:","Error:","خطأ:","Kesalahan:"
"CentralInfoUpdateFailed","","統合info.jsonの更新に失敗しました: {0}","Failed to update info.json: {0}","更新info.json失败: {0}","更新info.json失敗: {0}","info.json 업데이트 실패: {0}","Error al actualizar info.json: {0}","فشل تحديث info.json: {0}","Gagal memperbarui info.json: {0}"
"CentralInfoSaveFailed","","統合info.jsonの保存に失敗しました: {0}","Failed to save info.json: {0}","保存info.json失败: {0}","儲存info.json失敗: {0}","info.json 저장 실패: {0}","Error al guardar info.json: {0}","فشل حفظ info.json: {0}","Gagal menyimpan info.json: {0}"
"CentralInfoDeleteFailed","","統合info.jsonからの削除に失敗しました: {0}","Failed to remove from info.json: {0}","从info.json删除失败: {0}","從info.json刪除失敗: {0}","info.json에서 삭제 실패: {0}","Error al eliminar de info.json: {0}","فشل الحذف من info.json: {0}","Gagal menghapus dari info.json: {0}"
"PluginFolderNotFound","","プラグインフォルダが見つかりません。","Plugin folder not found.","找不到插件文件夹。","找不到外掛程式資料夾。","플러그인 폴더를 찾을 수 없습니다.","Carpeta de plugins no encontrada.","لم يتم العثور على مجلد المكوّنات الإضافية.","Folder plugin tidak ditemukan."
"FolderOpenError","","フォルダを開けませんでした: {0}","Failed to open folder: {0}","无法打开文件夹: {0}","無法開啟資料夾: {0}","폴더를 열 수 없습니다: {0}","No se pudo abrir la carpeta: {0}","تعذّر فتح المجلد: {0}","Gagal membuka folder: {0}"
"FolderNotFound","","フォルダが見つかりません。","Folder not found.","找不到文件夹。","找不到資料夾。","폴더를 찾을 수 없습니다.","Carpeta no encontrada.","المجلد غير موجود.","Folder tidak ditemukan."
"ConfirmDeletePlugin","","本当に削除しますか？","Are you sure you want to delete?","确定要删除吗？","確定要刪除嗎？","정말로 삭제하시겠습니까?","¿Está seguro de que desea eliminar?","هل أنت متأكد من الحذف؟","Apakah Anda yakin ingin menghapus?"
"RegenerateConfirm","","統合info.jsonをローカルプラグインの情報から再生成します。既存のinfo.jsonは上書きされます。よろしいですか？","Regenerate info.json from local plugin data.Existing info.json will be overwritten. Continue?","从本地插件信息重新生成info.json。现有info.json将被覆盖。继续？","從本地外掛程式資訊重新生成info.json。現有info.json將被覆蓋。繼續？","로컬 플러그인 정보에서 info.json을 재생성합니다.기존 info.json이 덮어씌워집니다. 계속하시겠습니까?","Regenerar info.json desde plugins locales.El existente será sobrescrito. ¿Continuar?","إعادة إنشاء info.json من بيانات المكوّنات الإضافية المحلية.سيتم استبدال info.json الموجود. متابعة؟","Regenerasi info.json dari data plugin lokal.info.json yang ada akan ditimpa. Lanjutkan?"
"RegenerateSuccess","","info.jsonを再生成しました。{0}件のプラグイン情報を登録しました。","info.json regenerated.{0} plugin(s) registered.","info.json已重新生成。已注册{0}个插件信息。","info.json已重新生成。已登錄{0}個外掛程式資訊。","info.json이 재생성되었습니다.{0}개의 플러그인 정보가 등록되었습니다.","info.json regenerado.{0} plugin(s) registrado(s).","تمت إعادة إنشاء info.json.تم تسجيل {0} مكوّن(ات) إضافي(ة).","info.json telah diregenerasi.{0} plugin telah terdaftar."
"RegenerateFailed","","info.jsonの再生成に失敗しました: {0}","Failed to regenerate info.json: {0}","重新生成info.json失败: {0}","重新生成info.json失敗: {0}","info.json 재생성 실패: {0}","Error al regenerar info.json: {0}","فشل إعادة إنشاء info.json: {0}","Gagal meregenerasi info.json: {0}"
"ReloadPortalSuccess","","プラグインポータルを再読み込みしました。","Plugin portal reloaded.","插件门户已重新加载。","外掛程式入口已重新載入。","플러그인 포털이 다시 로드되었습니다.","Portal de plugins recargado.","تم إعادة تحميل بوابة المكوّنات الإضافية.","Portal plugin dimuat ulang."
"ReloadPortalFailed","","プラグインポータルの再読み込みに失敗しました: {0}","Failed to reload plugin portal: {0}","重新加载插件门户失败: {0}","重新載入外掛程式入口失敗: {0}","플러그인 포털 다시 로드 실패: {0}","Error al recargar el portal de plugins: {0}","فشل إعادة تحميل بوابة المكوّنات الإضافية: {0}","Gagal memuat ulang portal plugin: {0}"
"InstanceNotSelected","","インスタンスが選択されていません。","No instance selected.","未选择实例。","未選擇實例。","인스턴스가 선택되지 않았습니다.","No se ha seleccionado ninguna instancia.","لم يتم تحديد أي مثيل.","Tidak ada instance yang dipilih."
"UninstallMultipleConfirm","","{0}個のプラグインを削除しますか？","Delete {0} plugin(s)?","是否删除{0}个插件？","是否刪除{0}個外掛程式？","{0}개의 플러그인을 삭제하시겠습니까?","¿Eliminar {0} plugin(s)?","هل تريد حذف {0} مكوّن(ات) إضافي(ة)؟","Hapus {0} plugin?"
"BulkDownloadInstance","","インストールするプラグインを少なくとも1つ選択してください。","Please select at least one plugin to install.","请至少选择一个要安装的插件。","請至少選擇一個要安裝的外掛程式。","설치할 플러그인을 최소 1개 선택해 주세요.","Por favor seleccione al menos un plugin para instalar.","الرجاء اختيار مكوّن إضافي واحد على الأقل للتثبيت.","Silakan pilih setidaknya satu plugin untuk dipasang."
"BulkDownloadSelectInstance","","インストール先のインスタンスを選択してください。","Please select the target instance.","请选择安装目标实例。","請選擇安裝目標實例。","설치 대상 인스턴스를 선택해 주세요.","Por favor seleccione la instancia de destino.","الرجاء اختيار المثيل الهدف.","Silakan pilih instance target."
"VersionDownloadTooltip","","このバージョンを直接ダウンロード","Download this version directly","直接下载此版本","直接下載此版本","이 버전 직접 다운로드","Descargar esta versión directamente","تنزيل هذا الإصدار مباشرة","Unduh versi ini langsung"
"DownloadInProgress","","処理が完了しました。Readmeを確認して「完了」を押してください。","Process complete. Check the Readme and click 'Close'.","处理完成。请查看Readme并点击「完成」。","處理完成。請查看Readme並點擊「完成」。","처리가 완료되었습니다. Readme를 확인 후 '완료'를 누르세요.","Proceso completo. Revise el Readme y pulse 'Cerrar'.","اكتملت العملية. راجع ملف Readme واضغط 'إغلاق'.","Proses selesai. Periksa Readme dan tekan 'Tutup'."
"AddInstanceTitle","","インスタンスを追加","Add Instance","添加实例","新增實例","인스턴스 추가","Agregar instancia","إضافة نسخة","Tambah Instans"
"SelectAddMethod","","追加方法を選択してください","Select how to add","选择添加方式","選擇新增方式","추가 방법 선택","Seleccionar método","اختر طريقة الإضافة","Pilih cara menambah"
"NewDownload","","新規ダウンロード","New Download","新建下载","新增下載","새로 다운로드","Nueva descarga","تنزيل جديد","Unduhan Baru"
"NewDownloadDesc","","YMM4を新規にDLしてインスタンスを作成","Download YMM4 and create a new instance","下载YMM4并创建新实例","下載YMM4並建立新實例","YMM4를 다운로드하여 새 인스턴스 생성","Descargar YMM4 y crear nueva instancia","تنزيل YMM4 وإنشاء نسخة جديدة","Unduh YMM4 dan buat instans baru"
"AddExisting","","既存を追加","Add Existing","添加现有","新增現有","기존 추가","Agregar existente","إضافة موجود","Tambah yang Ada"
"AddExistingDesc","","インストール済みのYMM4を追加","Add an already installed YMM4","添加已安装的YMM4","新增已安裝的YMM4","이미 설치된 YMM4 추가","Agregar YMM4 instalado","إضافة YMM4 مثبت مسبقاً","Tambah YMM4 yang sudah terinstal"
"InstanceSetupTitle","","インスタンスの設定","Instance Settings","实例设置","實例設定","인스턴스 설정","Configuración de instancia","إعدادات النسخة","Pengaturan Instans"
"NewInstanceSetupTitle","","新規インスタンスのセットアップ","New Instance Setup","新建实例设置","新建實例設定","새 인스턴스 설정","Configurar nueva instancia","إعداد نسخة جديدة","Pengaturan Instans Baru"
"Edition","","エディション","Edition","版本","版本","에디션","Edición","إصدار","Edisi"
"NormalEdition","","通常版","Standard","标准版","標準版","일반판","Estándar","الإصدار القياسي","Standar"
"NormalEditionDesc","","AquesTalkが最初から搭載済みです","AquesTalk is pre-installed.","已预装 AquesTalk。","已預裝 AquesTalk。","AquesTalk이 기본으로 탑재되어 있습니다.","AquesTalk sudah terpasang.","AquesTalk ya viene instalado.","AquesTalk مثبت مسبقًا."
"LiteEdition","","Lite版","Lite","Lite版","Lite版","Lite판","Lite","إصدار Lite","Lite"
"LiteEditionDesc","","AquesTalkを使用しない方におすすめ","Recommended for those who do not use AquesTalk.","推荐给不使用 AquesTalk 的用户。","推薦給不使用 AquesTalk 的用戶。","AquesTalk을 사용하지 않는 분들께 추천합니다.","Direkomendasikan bagi yang tidak menggunakan AquesTalk.","Recomendado para quienes no utilizan AquesTalk.","موصى به لأولئك الذين لا يستخدمون AquesTalk."
"IconLabel","","アイコン","Icon","图标","圖示","아이콘","Ícono","أيقونة","Ikon"
"UseExeIcon","","（exeのアイコンを使用）","(Use exe icon)","（使用exe图标）","（使用exe圖示）","（exe 아이콘 사용）","(Usar ícono del exe)","（استخدام أيقونة exe）","（Gunakan ikon exe）"
"AutoSetExeIcon","","（ダウンロード後にexeのアイコンを自動設定）","(Exe icon set automatically after download)","（下载后自动设置exe图标）","（下載後自動設定exe圖示）","（다운로드 후 exe 아이콘 자동 설정）","(Ícono del exe se establece automáticamente)","（سيتم ضبط أيقونة exe تلقائياً بعد التنزيل）","（Ikon exe diatur otomatis setelah unduhan）"
"SelectAnotherIcon","","別のアイコンを選択...","Select another icon...","选择其他图标...","選擇其他圖示...","다른 아이콘 선택...","Seleccionar otro ícono...","اختر أيقونة أخرى...","Pilih ikon lain..."
"ResetToExeIcon","","exeのアイコンに戻す","Reset to exe icon","恢复为exe图标","還原為exe圖示","exe 아이콘으로 초기화","Restablecer al ícono del exe","إعادة تعيين أيقونة exe","Setel ulang ke ikon exe"
"InstanceNameLabel","","インスタンス名","Instance Name","实例名称","實例名稱","인스턴스 이름","Nombre de instancia","اسم النسخة","Nama Instans"
"InstallFolder","","インストール先フォルダ","Install Folder","安装目标文件夹","安裝目標資料夾","설치 대상 폴더","Carpeta de instalación","مجلد التثبيت","Folder Instalasi"
"Browse","","参照...","Browse...","浏览...","瀏覽...","찾아보기...","Explorar...","استعراض...","Telusuri..."
"InstallFolderNote","","選択フォルダ内にインスタンス名フォルダを作成して解凍します","Extracts into a subfolder named after the instance","在所选文件夹内创建以实例名命名的子文件夹并解压","在所選資料夾內建立以實例名稱命名的子資料夾並解壓縮","선택한 폴더 안에 인스턴스 이름 폴더를 만들어 압축 해제","Extrae en una subcarpeta con el nombre de la instancia","يتم الاستخراج في مجلد فرعي باسم النسخة","Diekstrak ke dalam subfolder bernama sesuai instans"
"DownloadAndCreate","","ダウンロード && 作成","Download && Create","下载 && 创建","下載 && 建立","다운로드 && 만들기","Descargar && Crear","تنزيل && إنشاء","Unduh && Buat"
"FolderAlreadyExists","","フォルダは既に存在します。上書きしますか？","Folder already exists. Overwrite?","文件夹已存在，是否覆盖？","資料夾已存在，是否覆蓋？","폴더가 이미 존재합니다. 덮어쓰시겠습니까?","¿La carpeta ya existe. ¿Sobrescribir?","المجلد موجود بالفعل. هل تريد الكتابة فوقه؟","Folder sudah ada. Timpa?"
"ExeNotFound","","YukkuriMovieMaker.exeが見つかりませんでした。手動で確認してください。","YukkuriMovieMaker.exe not found. Please check manually.","未找到YukkuriMovieMaker.exe，请手动确认。","找不到YukkuriMovieMaker.exe，請手動確認。","YukkuriMovieMaker.exe를 찾을 수 없습니다. 수동으로 확인해주세요.","No se encontró YukkuriMovieMaker.exe. Verifique manualmente.","لم يتم العثور على YukkuriMovieMaker.exe. يرجى التحقق يدوياً.","YukkuriMovieMaker.exe tidak ditemukan. Periksa secara manual."
"DownloadUrlFailed","","ダウンロードURLの取得に失敗しました。公式サイトから手動でダウンロードしてください。","Failed to get download URL. Please download manually from the official site.","获取下载链接失败，请从官方网站手动下载。","取得下載連結失敗，請從官方網站手動下載。","다운로드 URL 가져오기 실패. 공식 사이트에서 수동으로 다운로드하세요.","Error al obtener la URL de descarga. Descargue manualmente desde el sitio oficial.","فشل الحصول على رابط التنزيل. يرجى التنزيل يدوياً من الموقع الرسمي.","Gagal mendapatkan URL unduhan. Unduh secara manual dari situs resmi."
"InstallFailed","","インストールに失敗しました","Installation failed","安装失败","安裝失敗","설치 실패","Error de instalación","فشل التثبيت","Instalasi gagal"
"CheckingLatestVersion","","最新バージョンを確認中...","Checking latest version...","检查最新版本中...","檢查最新版本中...","최신 버전 확인 중...","Verificando última versión...","جاري التحقق من أحدث إصدار...","Memeriksa versi terbaru..."
"Extracting","","解凍中...","Extracting...","解压中...","解壓中...","압축 해제 중...","Extrayendo...","جاري الاستخراج...","Mengekstrak..."
"Cleanup","","クリーンアップ中...","Cleaning up...","清理中...","清理中...","정리 중...","Limpiando...","جاري التنظيف...","Membersihkan..."
"SelectExeTitle","","YukkuriMovieMaker.exe を選択","Select YukkuriMovieMaker.exe","选择YukkuriMovieMaker.exe","選擇YukkuriMovieMaker.exe","YukkuriMovieMaker.exe 선택","Seleccionar YukkuriMovieMaker.exe","اختر YukkuriMovieMaker.exe","Pilih YukkuriMovieMaker.exe"
"SelectIconTitle","","アイコン画像を選択","Select icon image","选择图标图片","選擇圖示圖片","아이콘 이미지 선택","Seleccionar imagen de ícono","اختر صورة الأيقونة","Pilih gambar ikon"
"Complete","","完了","Complete","完成","完成","완료","Completo","مكتمل","Selesai"
"Cancelled","","キャンセル済み","Cancelled","已取消","已取消","취소됨","Cancelado","تم الإلغاء","Dibatalkan"
"StartingUp","","起動中","Starting up","启动中","啟動中","시작 중","Memulai","Iniciando","قيد التشغيل"
"ForceKillInstance","インスタンスを強制終了するボタンのツールチップ","強制終了","Force Quit","强制结束","強制結束","강제 종료","Forzar cierre","إنهاء قسري","Paksa Keluar"
"RemoveFromQueue","予約リストから削除するボタン","予約から削除","Remove from Queue","从队列移除","從佇列移除","예약에서 제거","Quitar de la cola","إزالة من قائمة الانتظار","Hapus dari Antrian"
"SelectPluginToRemoveFromQueue","予約から削除時に未選択の場合","削除するプラグインを選択してください","Please select a plugin to remove","请选择要移除的插件","請選擇要移除的插件","제거할 플러그인을 선택해 주세요","Seleccione el plugin a eliminar","الرجاء تحديد مكون إضافي للإزالة","Silakan pilih plugin yang akan dihapus"
"HideExePath","パスを非表示にするチェックボックス","フォルダパスを非表示にする","Hide folder paths","隐藏文件夹路径","隱藏資料夾路徑","폴더 경로 숨기기","Ocultar rutas de carpeta","إخفاء مسارات المجلدات","Sembunyikan jalur folder"
"InstanceSettingsDialogTitle","インスタンス設定ダイアログタイトル","インスタンスの設定","Instance Settings","实例设置","實例設定","인스턴스 설정","Configuración de instancia","إعدادات النسخة","Pengaturan Instans"
"ExePathLabel","exeパス参照ラベル","参照exeパス","Reference exe path","参考exe路径","參考exe路徑","참조 exe 경로","Ruta exe de referencia","مسار exe المرجعي","Jalur exe referensi"
"ReInheritSettings","設定の再引き継ぎセクションタイトル","設定の再引き継ぎ","Re-inherit Settings","重新继承设置","重新繼承設定","설정 재계승","Reinheritar configuración","إعادة توارث الإعدادات","Warisi Ulang Pengaturan"
"ReInheritSettingsDesc","再引き継ぎの説明","別インスタンスの設定ファイルをこのインスタンスに上書きコピーします","Copy settings from another instance to this one","将其他实例的设置文件覆盖复制到此实例","將其他實例的設定檔覆寫複製到此實例","다른 인스턴스의 설정 파일을 이 인스턴스에 덮어씁니다","Copia los archivos de configuración de otra instancia a esta","نسخ ملفات الإعدادات من نسخة أخرى إلى هذه النسخة","Salin file pengaturan dari instans lain ke instans ini"
"ReInheritExecute","再引き継ぎ実行ボタン","引き継ぎ元を選択して実行...","Select source and execute...","选择来源并执行...","選擇來源並執行...","소스를 선택하고 실행...","Seleccionar origen y ejecutar...","اختر المصدر وتنفيذ...","Pilih sumber dan jalankan..."
"Apply","適用ボタン","適用","Apply","应用","套用","적용","Aplicar","تطبيق","Terapkan"
"InheritSettingsTitle","設定引き継ぎダイアログタイトル","設定の引き継ぎ","Inherit Settings","继承设置","繼承設定","설정 계승","Heredar configuración","توارث الإعدادات","Warisi Pengaturan"
"InheritSettingsNote","初回起動の注意文","YMM4を一度起動して設定フォルダを生成しました。引き継ぐ設定ファイルを選択してください。◯は推奨ファイルです。","YMM4 was launched once to generate settings. Select files to inherit. ◯ marks recommended files.","已启动一次YMM4以生成设置文件夹。请选择要继承的设置文件。◯为推荐继承的文件。","已啟動一次YMM4以產生設定資料夾。請選擇要繼承的設定檔。◯為推薦繼承的檔案。","설정 폴더 생성을 위해 YMM4를 한 번 실행했습니다. 계승할 설정 파일을 선택하세요. ◯는 권장 파일입니다.","YMM4 se inició una vez para generar la carpeta de configuración. Seleccione los archivos a heredar. ◯ indica archivos recomendados.","تم تشغيل YMM4 مرة واحدة لإنشاء مجلد الإعدادات. حدد الملفات المراد توارثها. ◯ يشير إلى الملفات الموصى بها.","YMM4 telah dijalankan sekali untuk membuat folder pengaturan. Pilih file yang akan diwarisi. ◯ menandai file yang direkomendasikan."
"UseInheritSettings","引き継ぎを利用するチェックボックス","設定の引き継ぎを利用する","Use settings inheritance","使用设置继承","使用設定繼承","설정 계승 사용","Usar herencia de configuración","استخدام توارث الإعدادات","Gunakan warisan pengaturan"
"InheritExecute","引き継ぎ実行ボタン","引き継ぎを実行","Execute Inherit","执行继承","執行繼承","계승 실행","Ejecutar herencia","تنفيذ التوارث","Jalankan Warisan"
"Skip","スキップボタン","スキップ","Skip","跳过","跳過","건너뛰기","Omitir","تخطي","Lewati"
"InheritSettingsLaunching","初回起動中ステータス","設定フォルダ生成のため一度起動します...","Launching once to generate settings folder...","正在启动一次以生成设置文件夹...","正在啟動一次以產生設定資料夾...","설정 폴더 생성을 위해 한 번 실행합니다...","Iniciando una vez para generar la carpeta de configuración...","يتم التشغيل مرة واحدة لإنشاء مجلد الإعدادات...","Meluncurkan sekali untuk membuat folder pengaturan..."
"InheritComplete","引き継ぎ完了 ({0}=件数)","設定ファイルを {0} 件引き継ぎました","Inherited {0} settings file(s)","已继承 {0} 个设置文件","已繼承 {0} 個設定檔","설정 파일 {0}개를 계승했습니다","{0} archivo(s) de configuración heredado(s)","تم توارث {0} ملف إعدادات","Mewarisi {0} file pengaturan"
"InheritFailed","引き継ぎ失敗メッセージ","設定の引き継ぎに失敗しました","Settings inheritance failed","设置继承失败","設定繼承失敗","설정 계승 실패","Error en la herencia de configuración","فشل توارث الإعدادات","Warisan pengaturan gagal"
"SettingsFolderNotFound","settingsフォルダ未発見エラー","設定フォルダが見つかりません。先にYMM4を一度起動してください。","Settings folder not found. Please launch YMM4 once first.","找不到设置文件夹。请先启动一次YMM4。","找不到設定資料夾。請先啟動一次YMM4。","설정 폴더를 찾을 수 없습니다. 먼저 YMM4를 한 번 실행해 주세요.","Carpeta de configuración no encontrada. Por favor inicie YMM4 una vez.","لم يتم العثور على مجلد الإعدادات. يرجى تشغيل YMM4 مرة واحدة أولاً.","Folder pengaturan tidak ditemukan. Silakan jalankan YMM4 sekali terlebih dahulu."
"AddInstanceFailed","インスタンス追加失敗 ({0}=エラー)","インスタンスの追加に失敗しました: {0}","Failed to add instance: {0}","添加实例失败：{0}","新增實例失敗：{0}","인스턴스 추가 실패: {0}","Error al agregar instancia: {0}","فشل إضافة النسخة: {0}","Gagal menambahkan instans: {0}"
"ImageLoadFailed","画像読み込み失敗","画像の読み込みに失敗しました","Image load failed","图片加载失败","圖片載入失敗","이미지 로드 실패","Error al cargar la imagen","فشل تحميل الصورة","Gagal memuat gambar"
"MetaControlSettings","","時間制御カーブエディタテンプレート","Timing curve editor templates","时间控制曲线编辑器模板","時間控制曲線編輯器範本","시간 제어 곡선 편집기 템플릿","Plantillas de curvas de tiempo","قوالب محرر منحنيات التوقيت","Template editor kurva waktu"
"MetaKanjiToYomi","","発音変換エンジン設定","Pronunciation conversion engine","发音转换引擎","發音轉換引擎","발음 변환 엔진","Motor de conversión de pronunciación","محرك تحويل النطق","Mesin konversi pengucapan"
"MetaUserDictionary","","ユーザー辞書","User dictionary","用户词典","使用者字典","사용자 사전","Diccionario de usuario","قاموس المستخدم","Kamus pengguna"
"MetaPen","","ペン機能設定","Pen tool settings","画笔功能设置","畫筆功能設定","펜 기능 설정","Configuración herramienta pluma","إعدادات أداة القلم","Pengaturan alat pena"
"MetaGemini","","AIテキスト生成 (Gemini)","AI text generation (Gemini)","AI文本生成(Gemini)","AI文字生成(Gemini)","AI 텍스트 생성 (Gemini)","Generación de texto IA (Gemini)","إنشاء نص ذكاء اصطناعي (Gemini)","Teks AI (Gemini)"
"MetaGrok","","AIテキスト生成 (Grok)","AI text generation (Grok)","AI文本生成(Grok)","AI文字生成(Grok)","AI 텍스트 생성 (Grok)","Generación de texto IA (Grok)","إنشاء نص ذكاء اصطناعي (Grok)","Teks AI (Grok)"
"MetaAIOther","","AIテキスト生成 (その他)","AI text generation (Other)","AI文本生成(其他)","AI文字生成(其他)","AI 텍스트 생성 (기타)","Generación de texto IA (Otros)","إنشاء نص ذكاء اصطناعي (أخرى)","Teks AI (Lainnya)"
"MetaBrowser","","ブラウザ設定","Browser settings","浏览器设置","瀏覽器設定","브라우저 설정","Configuración del navegador","إعدادات المتصفح","Pengaturan browser"
"MetaExplorer","","エクスプローラーブックマーク設定","Explorer bookmark settings","资源管理器书签设置","檔案總管書籤設定","탐색기 북마크 설정","Configuración de marcadores","إعدادات الإشارات المرجعية","Pengaturan bookmark explorer"
"MetaNotepad","","メモ帳設定","Notepad settings","记事本设置","記事本設定","메모장 설정","Configuración bloc de notas","إعدادات المفكرة","Pengaturan notepad"
"MetaPluginPortal","","プラグインポータル設定","Plugin portal settings","插件门户设置","外掛程式入口網站設定","플러그인 포털 설정","Configuración portal de plugins","إعدادات بوابة المكونات الإضافية","Pengaturan portal plugin"
"MetaAivis","","合成音声設定 (AivisSpeech)","Voice synth (AivisSpeech)","合成语音(AivisSpeech)","合成語音(AivisSpeech)","합성 음성 (AivisSpeech)","Voz sintetizada (AivisSpeech)","صوت اصطناعي (AivisSpeech)","Suara sintetis (AivisSpeech)"
"MetaKotodama","","合成音声設定 (Kotodama)","Voice synth (Kotodama)","合成语音(Kotodama)","合成語音(Kotodama)","합성 음성 (Kotodama)","Voz sintetizada (Kotodama)","صوت اصطناعي (Kotodama)","Suara sintetis (Kotodama)"
"MetaVoiSona","","合成音声設定 (VoiSonaTalk)","Voice synth (VoiSonaTalk)","合成语音(VoiSonaTalk)","合成語音(VoiSonaTalk)","합성 음성 (VoiSonaTalk)","Voz sintetizada (VoiSonaTalk)","صوت اصطناعي (VoiSonaTalk)","Suara sintetis (VoiSonaTalk)"
"MetaFFmpeg","","FFmpeg出力テンプレート","FFmpeg output templates","FFmpeg输出模板","FFmpeg輸出範本","FFmpeg 출력 템플릿","Plantillas FFmpeg","قوالب إخراج FFmpeg","Template output FFmpeg"
"MetaMF","","MFVideo書き出し設定","MFVideo export settings","MFVideo导出设置","MFVideo匯出設定","MFVideo 내보내기 설정","Exportación MFVideo","إعدادات تصدير MFVideo","Ekspor MFVideo"
"MetaPngWav","","連番PNG+WAV出力設定","Sequential PNG+WAV output","连续PNG+WAV输出","連續PNG+WAV輸出","연번 PNG+WAV 출력","Salida PNG+WAV secuencial","إخراج PNG+WAV المتسلسل","Output PNG+WAV berurutan"
"MetaPluginLoader","","プラグイン情報表示設定","Plugin info display","插件信息显示","外掛程式資訊顯示","플러그인 정보 표시","Info de plugins","عرض معلومات المكونات الإضافية","Info plugin"
"MetaOpenAIToken","","AIテキスト生成 (トークン)","AI text generation (Token)","AI文本生成(令牌)","AI文字生成(權杖)","AI 텍스트 생성 (토큰)","Generación de texto IA (Token)","إنشاء نص (رمز مميز)","Teks AI (Token)"
"MetaChatGPT","","AIテキスト生成 (ChatGPT)","AI text generation (ChatGPT)","AI文本生成(ChatGPT)","AI文字生成(ChatGPT)","AI 텍스트 생성 (ChatGPT)","Generación de texto IA (ChatGPT)","إنشاء نص (ChatGPT)","Teks AI (ChatGPT)"
"MetaAIVoice","","合成音声設定 (AIVOICE)","Voice synth (AIVOICE)","合成语音(AIVOICE)","合成語音(AIVOICE)","합성 음성 (AIVOICE)","Voz sintetizada (AIVOICE)","صوت اصطناعي (AIVOICE)","Suara sintetis (AIVOICE)"
"MetaAquesTalk","","合成音声設定 (AquesTalk)","Voice synth (AquesTalk)","合成语音(AquesTalk)","合成語音(AquesTalk)","합성 음성 (AquesTalk)","Voz sintetizada (AquesTalk)","صوت اصطناعي (AquesTalk)","Suara sintetis (AquesTalk)"
"MetaCeVIO","","合成音声設定 (CeVIO)","Voice synth (CeVIO)","合成语音(CeVIO)","合成語音(CeVIO)","합성 음성 (CeVIO)","Voz sintetizada (CeVIO)","صوت اصطناعي (CeVIO)","Suara sintetis (CeVIO)"
"MetaCharaListWidth","","キャラクター設定リスト表示幅","Character list display width","角色列表显示宽度","角色清單顯示寬度","캐릭터 목록 표시 너비","Ancho lista personajes","عرض قائمة الشخصيات","Lebar daftar karakter"
"MetaCharacter","","キャラクター設定","Character settings","角色设置","角色設定","캐릭터 설정","Configuración de personajes","إعدادات الشخصيات","Pengaturan karakter"
"MetaCoeFont","","合成音声設定 (CoeFont)","Voice synth (CoeFont)","合成语音(CoeFont)","合成語音(CoeFont)","합성 음성 (CoeFont)","Voz sintetizada (CoeFont)","صوت اصطناعي (CoeFont)","Suara sintetis (CoeFont)"
"MetaCoeiroink2","","合成音声設定 (COEIROINK2)","Voice synth (COEIROINK2)","合成语音(COEIROINK2)","合成語音(COEIROINK2)","합성 음성 (COEIROINK2)","Voz sintetizada (COEIROINK2)","صوت اصطناعي (COEIROINK2)","Suara sintetis (COEIROINK2)"
"MetaColor","","カラーパレット設定","Color palette settings","颜色调色板设置","色彩調色盤設定","색상 팔레트 설정","Paleta de colores","إعدادات لوحة الألوان","Palet warna"
"MetaShortcut","","ショートカットキー設定","Shortcut key settings","快捷键设置","快速鍵設定","단축키 설정","Teclas de acceso rápido","مفاتيح الاختصار","Pintasan keyboard"
"MetaDevMode","","開発者モード設定","Developer mode settings","开发者模式设置","開發者模式設定","개발자 모드 설정","Modo desarrollador","وضع المطور","Mode pengembang"
"MetaEffectView","","エフェクトビュー設定","Effect view settings","效果视图设置","效果檢視設定","이펙트 뷰 설정","Vista de efectos","عرض التأثيرات","Tampilan efek"
"MetaEffectDefault","","アイテムデフォルト設定","Item default settings","项目默认设置","項目預設設定","아이템 기본 설정","Elementos por defecto","إعدادات العناصر الافتراضية","Item default"
"MetaFile","","ファイル設定","File settings","文件设置","檔案設定","파일 설정","Configuración de archivo","إعدادات الملفات","Pengaturan file"
"MetaFont","","フォント設定","Font settings","字体设置","字型設定","폰트 설정","Configuración de fuentes","إعدادات الخط","Pengaturan font"
"MetaSearch","","検索設定","Search settings","搜索设置","搜尋設定","검색 설정","Configuración de búsqueda","إعدادات البحث","Pengaturan pencarian"
"MetaTimeline","","タイムライン設定","Timeline settings","时间轴设置","時間軸設定","타임라인 설정","Configuración de línea de tiempo","إعدادات الجدول الزمني","Pengaturan timeline"
